,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
2,23/06/2020 22:58,1513752467,careFIJI,in,1.1,v di css b,5,Not enough awareness regarding this app in Fiji,Government is requested to facilitate enough publicity to ensure that all individuals with smartphone are using this app in Fiji.,  Not enough awareness regarding this app in Fiji Government is requested to facilitate enough publicity to ensure that all individuals with smartphone are using this app in Fiji.  ,en,  Not enough awareness regarding this app in Fiji Government is requested to facilitate enough publicity to ensure that all individuals with smartphone are using this app in Fiji   ,Location,fiji,0.0625,Positive,,,,,,,1,,
6,19/06/2020 4:34,1513752467,careFIJI,fj,1,Darpan Kishor,5,#StaySafe,Vinaka Fiji First 🙏🙏, #StaySafe Vinaka Fiji First 🙏🙏 ,sl,  StaySafe Vinaka Fiji First    ,Location,fiji,0.25,Neutral,,,,,,,1,,
