,Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Title Review,Detected Language,content,issue,syn,issue_vio_id,sentiment,Age,Disability,Domain_Specific,Emotional,Gender,Language,Location,Privacy,Socio_economic_Status
0,5/8/20 13:29,1514587092,Beat COVID Gibraltar,gb,1.0.1,trinavth,1,Covid 19 App,This app is useless for me I keep on getting pop ups that I am in a wrong region and this will not support exposure to the virus to go to settings.,  Covid 19 App This app is useless for me I keep on getting pop ups that I am in a wrong region and this will not support exposure to the virus to go to settings.  ,en,  Covid    App This app is useless for me I keep on getting pop ups that I am in a wrong region and this will not support exposure to the virus to go to settings   ,Location,region,0.071428571,Negative,0,,,,,,1,0,
2,20/06/2020 4:01,1514587092,Beat COVID Gibraltar,gb,1.0.0,WLBear,3,For iOS 13 or later,Not compatible with older iOS devices unable to have iOS 13 like iPhone 6,  For iOS 13 or later Not compatible with older iOS devices unable to have iOS 13 like iPhone 6  ,en,  For iOS    or later Not compatible with older iOS devices unable to have iOS    like iPhone    ,Age,older,0.1,Positive,1,,,,,,0,0,
3,18/06/2020 22:09,1514587092,Beat COVID Gibraltar,gb,1.0.0,rsnecuuio,5,"Simple, easy and save",Great app! Download it and protect your love ones,"  Simple, easy and save Great app! Download it and protect your love ones  ",en,  Simple  easy and save Great app  Download it and protect your love ones  ,Privacy,protect,0.111111111,Positive,0,,,,,,0,1,
